v = 11
a = 7
(b1, b2) = (26, 39)
c = 115
(d1, d2) = (7, 24)
(e1, e2) = (2, 7)
(f1, f2) = (29, 28)
(g1, g2) = (34, 33)
(h1, h2) = (33, 13)
(i1, i2) = (24, 9)
l = 4


Vertici 41
0 1 3
0 2 11
0 3 10
0 4 10
0 5 9
0 6 11
0 7 7
0 8 8
0 9 8
0 10 9
0 11 5
0 12 11
0 13 7
0 14 11
0 15 10
0 16 11
0 17 10
0 18 7
0 19 8
0 20 7
0 21 11
0 22 10
0 23 8
0 24 5
0 25 13
0 26 7
0 27 11
0 28 9
0 29 11
0 30 9
0 31 8
0 32 8
0 33 5
0 34 3
0 35 9
0 36 7
0 37 8
0 38 6
0 39 9
0 40 9
1 2 9
1 3 8
1 4 8
1 5 8
1 6 8
1 7 6
1 8 6
1 9 10
1 10 8
1 11 2
1 12 10
1 13 7
1 14 8
1 15 10
1 16 8
1 17 8
1 18 4
1 19 6
1 20 10
1 21 8
1 22 8
1 23 8
1 24 8
1 25 11
1 26 4
1 27 9
1 28 8
1 29 10
1 30 8
1 31 5
1 32 8
1 33 8
1 34 6
1 35 9
1 36 4
1 37 5
1 38 4
1 39 6
1 40 8
2 3 4
2 4 8
2 5 2
2 6 9
2 7 4
2 8 7
2 9 8
2 10 8
2 11 8
2 12 6
2 13 8
2 14 6
2 15 8
2 16 4
2 17 8
2 18 7
2 19 10
2 20 10
2 21 8
2 22 8
2 23 6
2 24 6
2 25 7
2 26 9
2 27 9
2 28 10
2 29 7
2 30 6
2 31 5
2 32 4
2 33 6
2 34 8
2 35 7
2 36 10
2 37 7
2 38 8
2 39 6
2 40 6
3 4 8
3 5 2
3 6 6
3 7 4
3 8 3
3 9 8
3 10 8
3 11 6
3 12 6
3 13 7
3 14 8
3 15 4
3 16 7
3 17 6
3 18 8
3 19 6
3 20 7
3 21 5
3 22 7
3 23 2
3 24 6
3 25 3
3 26 6
3 27 6
3 28 9
3 29 5
3 30 6
3 31 9
3 32 7
3 33 5
3 34 7
3 35 4
3 36 7
3 37 7
3 38 4
3 39 7
3 40 4
4 5 9
4 6 6
4 7 7
4 8 8
4 9 8
4 10 4
4 11 7
4 12 7
4 13 9
4 14 9
4 15 6
4 16 5
4 17 5
4 18 5
4 19 9
4 20 3
4 21 5
4 22 5
4 23 6
4 24 8
4 25 9
4 26 9
4 27 6
4 28 5
4 29 9
4 30 6
4 31 7
4 32 4
4 33 7
4 34 7
4 35 4
4 36 7
4 37 5
4 38 9
4 39 3
4 40 7
5 6 8
5 7 2
5 8 5
5 9 6
5 10 9
5 11 6
5 12 4
5 13 6
5 14 8
5 15 6
5 16 6
5 17 6
5 18 8
5 19 8
5 20 9
5 21 7
5 22 6
5 23 4
5 24 4
5 25 5
5 26 8
5 27 8
5 28 8
5 29 5
5 30 4
5 31 7
5 32 5
5 33 7
5 34 9
5 35 6
5 36 8
5 37 5
5 38 6
5 39 7
5 40 4
6 7 6
6 8 9
6 9 8
6 10 2
6 11 7
6 12 8
6 13 8
6 14 8
6 15 7
6 16 5
6 17 6
6 18 6
6 19 10
6 20 6
6 21 6
6 22 6
6 23 5
6 24 8
6 25 3
6 26 4
6 27 9
6 28 5
6 29 8
6 30 6
6 31 8
6 32 6
6 33 6
6 34 8
6 35 7
6 36 7
6 37 4
6 38 9
6 39 4
6 40 4
7 8 7
7 9 4
7 10 7
7 11 4
7 12 4
7 13 4
7 14 6
7 15 6
7 16 7
7 17 4
7 18 6
7 19 8
7 20 7
7 21 7
7 22 6
7 23 6
7 24 2
7 25 7
7 26 8
7 27 8
7 28 6
7 29 7
7 30 2
7 31 6
7 32 3
7 33 6
7 34 8
7 35 6
7 36 6
7 37 6
7 38 6
7 39 5
7 40 2
8 9 11
8 10 8
8 11 4
8 12 8
8 13 5
8 14 9
8 15 7
8 16 8
8 17 8
8 18 6
8 19 4
8 20 10
8 21 7
8 22 6
8 23 5
8 24 9
8 25 6
8 26 5
8 27 7
8 28 9
8 29 8
8 30 9
8 31 8
8 32 4
8 33 7
8 34 8
8 35 7
8 36 6
8 37 8
8 38 2
8 39 6
8 40 7
9 10 9
9 11 8
9 12 4
9 13 8
9 14 4
9 15 8
9 16 9
9 17 6
9 18 8
9 19 9
9 20 8
9 21 7
9 22 5
9 23 8
9 24 3
9 25 7
9 26 6
9 27 6
9 28 6
9 29 10
9 30 2
9 31 6
9 32 7
9 33 7
9 34 5
9 35 6
9 36 10
9 37 9
9 38 9
9 39 7
9 40 4
10 11 6
10 12 6
10 13 6
10 14 10
10 15 6
10 16 4
10 17 4
10 18 4
10 19 8
10 20 4
10 21 4
10 22 4
10 23 7
10 24 9
10 25 5
10 26 6
10 27 8
10 28 6
10 29 8
10 30 7
10 31 6
10 32 4
10 33 4
10 34 6
10 35 6
10 36 7
10 37 4
10 38 8
10 39 2
10 40 6
11 12 8
11 13 5
11 14 10
11 15 8
11 16 6
11 17 6
11 18 2
11 19 4
11 20 8
11 21 6
11 22 6
11 23 7
11 24 6
11 25 9
11 26 6
11 27 7
11 28 6
11 29 9
11 30 6
11 31 4
11 32 6
11 33 7
11 34 7
11 35 8
11 36 2
11 37 6
11 38 2
11 39 4
11 40 6
12 13 8
12 14 8
12 15 8
12 16 6
12 17 6
12 18 6
12 19 8
12 20 6
12 21 4
12 22 2
12 23 7
12 24 6
12 25 7
12 26 6
12 27 8
12 28 6
12 29 9
12 30 2
12 31 6
12 32 6
12 33 9
12 34 9
12 35 6
12 36 9
12 37 6
12 38 6
12 39 4
12 40 4
13 14 8
13 15 7
13 16 9
13 17 7
13 18 7
13 19 4
13 20 6
13 21 6
13 22 6
13 23 5
13 24 6
13 25 10
13 26 4
13 27 7
13 28 4
13 29 8
13 30 6
13 31 7
13 32 5
13 33 2
13 34 4
13 35 7
13 36 7
13 37 7
13 38 3
13 39 7
13 40 5
14 15 4
14 16 10
14 17 6
14 18 8
14 19 10
14 20 6
14 21 9
14 22 8
14 23 6
14 24 7
14 25 8
14 26 4
14 27 10
14 28 4
14 29 9
14 30 6
14 31 8
14 32 9
14 33 9
14 34 9
14 35 8
14 36 11
14 37 10
14 38 9
14 39 8
14 40 8
15 16 6
15 17 2
15 18 6
15 19 6
15 20 3
15 21 5
15 22 6
15 23 2
15 24 8
15 25 4
15 26 6
15 27 6
15 28 5
15 29 5
15 30 6
15 31 8
15 32 6
15 33 5
15 34 7
15 35 4
15 36 7
15 37 6
15 38 8
15 39 4
15 40 4
16 17 4
